No,word,ÆÄ»ý¾î,grade
1546,learn,,1
1547,lease,,3
1548,leather,,3
1549,leave,,2
1550,lecture,,3
1551,left,,1
1552,leg,,1
1553,legal,,2
1554,legend,,3
1555,legislate,,3
1556,legitimate,,3
1557,leisure,,3
1558,lemon,,2
1559,lend,,2
1560,lesson,,1
1561,let,,2
1562,letter,(literal),1
1563,level,,2
1564,liberal,,3
1565,liberty,,3
1566,library,,1
1567,license,/ licence,2
1568,lid,,2
1569,lie,,1
1570,life,,1
1571,lift,,2
1572,light,,1
1573,like,(likely),1
1574,likewise,,3
1575,limit,,2
1576,line,,1
1577,linguistic,,3
1578,link,,2
1579,lion,,1
1580,lip,,1
1581,liquid,,3
1582,list,,2
1583,listen,,1
1584,literature,,3
1585,little,,1
1586,live,,1
1587,livingroom,,2
1588,load,,2
1589,loan,,2
1590,local,,2
1591,locate,,2
1592,lock,,2
1593,log,,2
1594,logic,,3
1595,lone,,3
1596,long,,1
1597,look,,1
1598,loose,,2
1599,lose,,2
1600,loss,,2
1601,lot,,2
1602,loud,,2
1603,love,,1
1604,low,,1
1605,loyal,,3
1606,luck,,1
1607,lump,,3
1608,lunch,,1
1609,luxury,,3
1610,machine,,2
1611,mad,,1
1612,magazine,,2
1613,magic,,2
1614,magnet,,3
1615,magnificent,,3
1616,mail,,1
1617,main,,2
1618,maintain,,2
1619,major,(majority),2
1620,make,,1
1621,male,,2
1622,man,,1
1623,manage,,2
1624,manifest,,3
1625,manipulate,,3
1626,manner,,2
1627,manufacture,,2
1628,many,,1
1629,map,,1
1630,marathon,,1
1631,margin,,3
1632,marine,,3
1633,mark,,2
1634,market,,1
1635,marry,,1
1636,marvel,,2
1637,mask,,2
1638,mass,,2
1639,master,,2
1640,match,,2
1641,mate,,2
1642,mathematics,/ maths / math,1
1643,matter,(material),2
1644,mature,,3
1645,maximum,,2
1646,may,,1
1647,maybe,,2
1648,mayor,,3
1649,meal,,2
1650,mean,,2
1651,meanwhile,,3
1652,measure,,2
1653,meat,,1
1654,mechanic,,3
1655,mechanism,,3
1656,medal,,1
1657,mediate,,3
1658,medical,,2
1659,medicine,,2
1660,medieval,,3
1661,medium,(media),3
1662,meet,,1
1663,melon,,2
1664,melt,,2
1665,member,(membership),1
1666,memory,,1
1667,mental,,2
1668,mention,,2
1669,menu,,2
1670,merchant,,3
1671,mere,,3
1672,merge,,3
1673,merit,,3
1674,mess,,2
1675,message,,2
1676,metal,,2
1677,method,,2
1678,metropolitan,,3
1679,microphone,,3
1680,microwave,,2
1681,middle,,1
1682,might,,1
1683,migrate,(migrant),3
1684,mild,,3
1685,military,,2
1686,milk,,1
1687,mill,,2
1688,million,,3
1689,mind,,1
1690,mine,(miner),3
1691,mineral,,3
1692,minimal,,3
1693,minimum,,3
1694,ministry,,3
1695,minor,,2
1696,minute,,2
1697,miracle,,3
1698,mirror,,2
1699,miss,,1
1700,missile,,3
1701,mission,,2
1702,mix,,2
1703,mobile,,3
1704,mock,,3
1705,mode,,3
1706,modify,,3
1707,model,,1
1708,moderate,,3
1709,modern,,2
1710,modest,,3
1711,moist,(moisture),3
1712,molecule,,3
1713,moment,,2
1714,money,,1
1715,monitor,,2
1716,monkey,,1
1717,monster,,3
1718,month,,1
1719,monument,,3
1720,mood,,2
1721,moon,(half¡©moon),1
1722,moral,,2
1723,moreover,,2
1724,morning,,1
1725,mortal,,3
1726,mother,"(mom, mommy)",1
1727,motion,,2
1728,motive,,3
1729,motor,,2
1730,mount,,2
1731,mountain,,1
1732,mouse,,1
1733,mouth,,1
1734,move,,1
1735,movie,,1
1736,much,,1
1737,mud,,2
1738,multiple,,3
1739,murder,,3
1740,muscle,,2
1741,museum,,2
1742,mushroom,,2
1743,music,,1
1744,must,,1
1745,mutual,,3
1746,mystery,,2
1747,myth,,3
1748,nail,,2
1749,naive,,3
1750,naked,,3
1751,name,,1
1752,narrate,,3
1753,narrow,,2
1754,nasty,,3
1755,nation,(international),1
1756,native,,2
1757,nature,,1
1758,navy,,2
1759,near,,1
1760,neat,,2
1761,necessary,,2
1762,neck,,1
1763,need,,1
1764,needle,,3
1765,negate,(negative),3
1766,neglect,,3
1767,negotiate,,3
1768,neighbor,/ neighbour,2
1769,neither,,2
1770,nephew,,3
1771,nerve,(nervous),2
1772,nest,,2
1773,net,,2
1774,network,,3
1775,neutral,,3
1776,never,,1
1777,nevertheless,,3
1778,new,,1
1779,news,,1
1780,newspaper,,1
1781,next,,1
1782,nice,,1
1783,night,,1
1784,nightmare,,3
1785,nine,,1
1786,no,/ nope / nay,1
1787,noble,,3
1788,nod,,3
1789,noise,,2
1790,nominate,,3
1791,none,,2
1792,nonetheless,,3
1793,noon,,2
1794,nor,,2
1795,norm,(normal),3
1796,north,,1
1797,nose,,1
1798,not,,1
1799,note,(notion),1
1800,notebook,,1
1801,nothing,,1
1802,notice,,2
1803,novel,,3
1804,now,,1
1805,nowadays,,2
1806,nowhere,,2
1807,nuclear,,3
1808,number,,1
1809,numerous,,3
1810,nurse,,1
1811,nut,,2
1812,oak,,2
1813,obey,,3
1814,object,(objective),2
1815,oblige,,3
1816,observe,,2
1817,obsess,,3
1818,obtain,,3
1819,obvious,,2
1820,occasion,,2
1821,occupy,(occupation),3
1822,occur,(occurrence),2
1823,ocean,,2
1824,odd,,2
1825,of,,1
1826,off,,1
1827,offend,,3
1828,offer,,2
1829,office,(official),1
1830,officer,,2
1831,often,,1
1832,oil,,1
1833,okay,/ okey / OK,1
1834,old,,1
1835,on,,1
1836,once,,2
1837,one,,1
1838,only,,1
1839,open,,1
1840,opera,,2
1841,operate,,2
1842,opinion,,2
1843,opportune,(opportunity),3
1844,oppose,,2
1845,opt,(option),3
1846,optimist,,3
1847,or,,1
1848,oral,,3
1849,orange,,1
1850,orbit,,3
1851,orchestra,,3
1852,order,(disorder),2
1853,ordinary,,2
1854,organ,"(organic, organize / organise)",3
1855,orient,(orientation),3
1856,origin,(original),3
1857,other,,2
1858,otherwise,,2
1859,ought,,2
1860,out,,1
1861,outcome,,3
1862,outline,,3
1863,output,,3
1864,outrage,,3
1865,outstanding,,3
1866,oven,,2
1867,over,,1
1868,overall,,2
1869,overcome,,3
1870,overhead,,3
1871,overlap,,3
1872,overlook,,3
1873,overnight,,3
1874,oversea,/ overseas,3
1875,overwhelm,,3
1876,owe,,3
1877,own,,2
1878,pace,,3
1879,pack,,2
1880,pad,,3
1881,page,,1
1882,pain,,2
1883,paint,,1
1884,pair,,2
1885,palace,,2
1886,pale,,3
1887,palm,,3
1888,pan,,2
1889,panel,,3
1890,panic,,2
1891,pants,,1
1892,paper,,1
1893,parade,,2
1894,paragraph,,2
1895,parallel,,3
1896,pardon,,2
1897,parent,,1
1898,park,,1
1899,parliament,,3
1900,part,,1
1901,participate,,3
1902,particle,,3
1903,particular,(particularly),2
1904,partner,,1
1905,party,,1
1906,pass,,1
1907,passage,,3
1908,passenger,,3
1909,passion,,3
1910,passport,,3
1911,past,,2
1912,pat,,3
1913,patch,,3
1914,patent,,3
1915,path,,2
1916,patient,,2
1917,pattern,,2
1918,pause,,2
1919,pave,,3
1920,pay,,1
1921,peace,(peaceful),2
1922,peak,,3
1923,pear,,2
1924,peasant,,3
1925,peel,,3
1926,peer,,3
1927,pen,,1
1928,penalty,,3
1929,pencil,,1
1930,people,,1
1931,pepper,,2
1932,per,,2
1933,perceive,(perception),3
1934,perfect,,2
1935,perform,,2
1936,perhaps,,2
1937,period,,2
1938,permanent,,3
1939,permit,,3
1940,persist,,3
1941,person,(personality),2
1942,perspective,,3
1943,persuade,,3
1944,pet,,2
1945,phase,,3
1946,phenomenon,,3
1947,philosophy,,3
1948,photograph,/ photo,2
1949,phrase,,3
1950,physical,,2
1951,physics,,3
1952,piano,,1
1953,pick,,1
1954,picnic,,2
1955,picture,,1
1956,pie,,2
1957,piece,,2
1958,pig,,1
1959,pile,,2
1960,pill,,3
1961,pilot,,1
1962,pin,,2
1963,pinch,,3
1964,pine,,2
1965,pink,,1
1966,pioneer,,3
1967,pipe,,2
1968,pitch,,2
1969,pity,,2
1970,pizza,,1
1971,place,(displace),1
1972,plain,,2
1973,plan,,1
1974,plane,,2
1975,planet,,2
1976,plant,,2
1977,plastic,,1
1978,plate,,2
1979,platform,,3
1980,play,,1
1981,please,"(pleasant, pleasure)",1
1982,plenty,,2
1983,plot,,3
1984,plus,,2
1985,pocket,,2
1986,poem,,2
1987,poet,,2
1988,point,,1
1989,poison,,2
1990,pole,(polar),2
1991,police,,1
1992,policy,,2
1993,polish,,3
1994,polite,,2
1995,politics,,2
1996,poll,,3
1997,pollute,,2
1998,pond,,3
1999,pool,,2
2000,poor,,1
2001,pop,,2
2002,popular,,2
2003,populate,(population),3
2004,pork,,2
2005,port,,2
2006,portion,,3
2007,portrait,,3
2008,pose,(dispose),3
2009,posit,"(position, positive)",3
2010,possess,,2
2011,possible,,2
2012,post,(poster),2
2013,pot,,2
2014,potato,,1
2015,potential,,2
2016,pour,,2
2017,powder,,2
2018,power,,1
2019,practical,,2
2020,practice,/ practise,2
2021,praise,,3
2022,pray,,2
2023,preach,,3
2024,precede,(unprecedented),3
2025,precise,,3
2026,predator,,3
2027,predict,,3
2028,prefer,,2
2029,pregnant,,2
2030,prejudice,,3
2031,premium,,3
2032,prepare,,2
2033,prescribe,,3
2034,presence,,2
2035,present,,1
2036,preserve,,3
2037,preside,(president),3
2038,press,,2
2039,presume,,3
2040,pretend,,2
2041,pretty,,1
2042,prevail,,3
2043,prevent,,2
2044,previous,,2
2045,prey,,3
2046,price,,2
2047,pride,,2
2048,priest,,3
2049,prime,(primary),2
2050,primitive,,3
2051,prince,,1
2052,principal,,3
2053,principle,,2
2054,print,,1
2055,prior,,3
2056,prison,,2
2057,privacy,,2
2058,private,,2
2059,privilege,,3
2060,prize,,2
2061,probable,(probably),2
2062,problem,,1
2063,proceed,(procedure),2
2064,process,,2
2065,produce,,2
2066,profession,,2
2067,professor,,3
2068,profile,,3
2069,profit,,2
2070,profound,,3
2071,program,/ programme (programmatic),1
2072,progress,,2
2073,prohibit,,3
2074,project,,1
2075,prominent,,3
2076,promise,,2
2077,promote,,2
2078,prompt,,3
2079,pronounce,(pronunciation),2
2080,proof,,3
2081,proper,,2
2082,property,,2
2083,proportion,,3
2084,propose,,2
2085,prospect,,3
2086,prosper,,3
2087,protect,,2
2088,protein,,3
2089,protest,,2
2090,proud,,2
2091,prove,,2
2092,provide,,2
2093,province,,3
2094,provoke,,3
2095,psychology,,3
2096,pub,,2
2097,public,,2
2098,publish,(publisher),3
2099,pull,,2
2100,pump,,2
2101,punch,,2
2102,punish,,2
2103,pupil,,3
2104,puppy,,1
2105,purchase,,2
2106,pure,,2
2107,purple,,2
2108,purpose,,2
2109,pursue,,3
2110,push,,1
2111,put,,1
2112,puzzle,,2
2113,quality,(qualify),2
2114,quantity,,3
2115,quarter,,2
2116,queen,,1
2117,question,,1
2118,questionnaire,,3
2119,quick,,1
2120,quiet,,1
2121,quit,,2
2122,quite,,2
2123,quiz,,1
2124,quote,,2
2125,rabbit,,1
2126,race,(racial),1
2127,radio,,1
2128,rage,,3
2129,rail,,2
2130,rain,,1
2131,rainbow,,2
2132,raise,,2
2133,rally,,3
2134,random,,3
2135,range,,2
2136,rank,,3
2137,rapid,,2
2138,rare,,2
2139,rat,,2
2140,rate,,2
2141,rather,,2
2142,rational,,3
2143,raw,,3
2144,reach,,2
2145,react,,2
2146,read,,1
2147,ready,,1
2148,real,(realize / realise),2
2149,rear,,3
2150,reason,(reasonable),2
2151,rebel,,3
2152,receipt,,3
2153,receive,(reception),2
2154,recent,,2
2155,recipe,,2
2156,recognize,,2
2157,recommend,,2
2158,record,,2
2159,recover,,2
2160,recreation,,1
2161,recruit,,3
2162,red,,1
2163,reduce,,2
2164,refer,,2
2165,refine,,3
2166,reflect,,2
2167,reform,,3
2168,refrigerate,(refrigerator),3
2169,refuse,,2
2170,regard,,2
2171,region,,2
2172,register,,2
2173,regret,,3
2174,regular,,2
2175,regulate,,3
2176,reinforce,,3
2177,reject,,3
2178,relate,"(relative, relation, relationship)",2
2179,relax,,2
2180,release,,2
2181,relevant,,3
2182,relief,,2
2183,relieve,,3
2184,religion,,3
2185,reluctant,,3
2186,rely,,2
2187,remain,,2
2188,remark,,2
2189,remedy,,3
2190,remember,,1
2191,remind,,2
2192,remote,,3
2193,remove,,2
2194,rent,,2
2195,repair,,2
2196,repeat,,2
2197,replace,,2
2198,reply,,2
2199,report,,2
2200,represent,,2
2201,republic,,3
2202,reputation,,3
2203,request,,2
2204,require,,2
2205,rescue,,3
2206,research,,2
2207,resemble,,3
2208,reserve,,2
2209,reside,(resident),3
2210,resign,,3
2211,resist,,2
2212,resolve,,3
2213,resort,,3
2214,resource,,2
2215,respect,(respective),2
2216,respond,,2
2217,responsible,,2
2218,rest,,2
2219,restaurant,,1
2220,restore,,3
2221,restrain,,3
2222,restrict,,3
2223,restroom,,1
2224,result,,2
2225,resume,,3
2226,retail,,3
2227,retain,,3
2228,retire,,2
2229,retreat,,3
2230,return,,1
2231,reveal,,3
2232,revenge,,3
2233,reverse,,3
2234,revise,,3
2235,revive,,3
2236,revolution,,3
2237,reward,,3
2238,rhythm,,3
2239,ribbon,,1
2240,rice,,2
2241,rich,,1
2242,rid,,3
2243,ride,,2
2244,ridicule,(ridiculous),3
2245,right,,1
2246,ring,,1
2247,riot,,3
2248,rise,,2
2249,risk,,2
2250,rival,,3
2251,river,,1
2252,road,,1
2253,roar,,3
2254,roast,,3
2255,rob,,2
2256,robot,,1
2257,rock,,1
2258,rocket,,2
2259,rod,,3
2260,role,,2
2261,roll,(enroll / enrol),2
2262,romantic,,3
2263,roof,,2
2264,room,,1
2265,root,,2
2266,rope,,2
2267,rose,,1
2268,rot,,3
2269,rough,,2
2270,round,,2
2271,route,,2
2272,routine,,3
2273,row,,2
2274,royal,,2
2275,rub,(rubber),2
2276,rude,,2
2277,ruin,,2
2278,rule,,2
2279,rumor,/ rumour,3
2280,run,,1
2281,rural,,3
2282,rush,,2
2283,sack,,3
2284,sacred,,3
2285,sacrifice,,3
2286,sad,,1
2287,safe,,1
2288,sail,,2
2289,salad,,1
2290,salary,,2
2291,sale,,1
2292,salt,,1
2293,same,,1
2294,sample,,2
2295,sand,,1
2296,sandwich,,1
2297,satellite,,3
2298,satisfy,,2
2299,sauce,,2
2300,save,,1
2301,say,,1
2302,scale,,2
2303,scan,,3
2304,scandal,,3
2305,scarce,,3
2306,scare,,2
2307,scarf,,2
2308,scatter,,3
2309,scene,,2
2310,schedule,,2
2311,scheme,,3
2312,scholar,,3
2313,school,,1
2314,science,,1
2315,scissors,,1
2316,scope,,3
2317,score,,1
2318,scramble,,3
2319,scratch,,2
2320,scream,,2
2321,screen,,2
2322,screw,,3
2323,sculpt,(sculpture),3
2324,sea,,1
2325,seal,,2
2326,search,,2
2327,season,,1
2328,seat,,2
2329,second,(secondary),1
2330,secret,,2
2331,secretary,,2
2332,section,,2
2333,sector,,3
2334,secure,,2
2335,see,,1
2336,seed,,2
2337,seek,,2
2338,seem,,2
2339,seize,,3
2340,select,,2
2341,self,,2
2342,sell,,1
2343,send,,1
2344,senior,,2
2345,sense,(sensation),2
2346,sensible,,3
2347,sentence,,2
2348,sentiment,,3
2349,separate,,2
2350,sequence,,3
2351,series,,2
2352,serious,,2
2353,serve,,2
2354,service,,1
2355,session,,2
2356,set,,1
2357,settle,,2
2358,seven,,1
2359,several,,2
2360,severe,,3
2361,sew,,2
2362,sex,,2
2363,shade,,2
2364,shadow,,2
2365,shake,,2
2366,shall,,2
2367,shallow,,3
2368,shame,,2
2369,shape,,2
2370,share,,2
2371,sharp,,2
2372,shave,,2
2373,she,,1
2374,sheep,,2
2375,sheet,,2
2376,shelf,,2
2377,shell,,2
2378,shelter,,2
2379,shift,,2
2380,shine,,2
2381,ship,,1
2382,shirt,,1
2383,shock,,2
2384,shoe,,1
2385,shoot,,2
2386,shop,,1
2387,shore,,2
2388,short,,1
2389,should,,1
2390,shoulder,,2
2391,shout,,2
2392,show,,1
2393,shower,,2
2394,shut,,2
2395,shy,,1
2396,sick,,1
2397,side,,1
2398,sigh,,3
2399,sight,,2
2400,sign,(significant),2
2401,silent,,3
2402,silly,,2
2403,silver,,2
2404,similar,,2
2405,simple,,2
2406,simulate,,3
2407,simultaneous,,3
2408,sin,,3
2409,since,,2
2410,sing,,1
2411,single,,2
2412,sink,,2
2413,sister,,1
2414,sit,,1
2415,site,,2
2416,situate,(situation),2
2417,six,,1
2418,size,,1
2419,skate,,1
2420,ski,,1
2421,skill,,2
2422,skin,,1
2423,skip,,3
2424,skirt,,1
2425,sky,,1
2426,slave,,2
2427,sleep,,1
2428,slice,,3
2429,slide,,2
2430,slight,,2
2431,slim,,3
2432,slip,,2
2433,slope,,3
2434,slow,,1
2435,small,,1
2436,smart,,2
2437,smash,,2
2438,smell,,1
2439,smile,,1
2440,smoke,,2
2441,smooth,,2
2442,snack,,2
2443,snake,,2
2444,snap,,2
2445,sneak,,3
2446,snow,,1
2447,so,,1
2448,soak,,3
2449,soap,,3
2450,soccer,,1
2451,social,,2
2452,society,,2
2453,sociology,,3
2454,sock,,1
2455,soft,,1
2456,software,,1
2457,soil,,2
2458,soldier,,2
2459,sole,,3
2460,solid,,2
2461,solve,,2
2462,some,,1
2463,somewhat,,2
2464,son,,1
2465,song,,1
2466,soon,,2
2467,sophisticate,,3
2468,sore,,2
2469,sorry,,1
2470,sort,,2
2471,soul,,2
2472,sound,,1
2473,soup,,1
2474,sour,,2
2475,source,,2
2476,south,,1
2477,space,,1
2478,spaghetti,,1
2479,span,,3
2480,spare,,2
2481,spark,,3
2482,speak,,1
2483,species,(special),2
2484,specific,,2
2485,spectacle,,3
2486,spectrum,,3
2487,speech,,2
2488,speed,,1
2489,spell,,2
2490,spend,,2
2491,sphere,,3
2492,spill,,3
2493,spin,,2
2494,spirit,,2
2495,spit,,3
2496,splash,,3
2497,split,,3
2498,spoil,,2
2499,sponsor,,2
2500,spoon,,1
2501,sport,,1
2502,spot,,2
2503,spouse,,3
2504,spray,,2
2505,spread,,2
2506,spring,,1
2507,spy,,2
2508,square,,2
2509,squeeze,,3
2510,stable,,2
2511,stack,,3
2512,staff,,1
2513,stage,,2
2514,stain,,3
2515,stairs,,2
2516,stamp,,2
2517,stand,,1
2518,standard,,2
2519,star,,1
2520,stare,,2
2521,start,,1
2522,starve,,3
2523,state,,2
2524,station,,2
2525,statistic,,3
2526,statue,,3
2527,status,,3
2528,stay,,1
2529,steady,,2
2530,steak,,1
2531,steal,,2
2532,steam,,2
2533,steel,,2
2534,steep,,3
2535,stem,,3
2536,step,,2
2537,stick,,2
2538,stiff,,3
2539,still,,2
2540,stimulate,,3
2541,stir,,2
2542,stitch,,3
2543,stock,,2
2544,stomach,,2
2545,stone,,1
2546,stop,,1
2547,store,,1
2548,storm,,2
2549,story,,1
2550,stove,,3
2551,straight,,2
2552,strain,,3
2553,strange,,2
2554,strategy,,2
2555,strawberry,,2
2556,stream,,2
2557,street,,1
2558,stress,,2
2559,stretch,,2
2560,strict,,3
2561,strike,,2
2562,string,,2
2563,strip,,3
2564,stripe,,3
2565,stroke,,3
2566,strong,,1
2567,structure,,2
2568,struggle,,2
2569,studio,,2
2570,study,(student),1
2571,stuff,,2
2572,style,,1
2573,subject,(subjective),2
2574,submarine,,3
2575,submit,(submission),3
2576,subscribe,,3
2577,substance,(substantial),3
2578,substitute,,3
2579,subtle,,3
2580,suburb,,3
2581,subway,,1
2582,succeed,,2
2583,success,,2
2584,such,,2
2585,suck,,3
2586,sudden,,2
2587,suffer,,2
2588,suffice,(sufficient),3
2589,sugar,,1
2590,suggest,,2
2591,suicide,,3
2592,suit,,2
2593,suite,,3
2594,sum,(summary),2
2595,summer,,1
2596,summit,,3
2597,sun,,1
2598,super,,2
2599,superb,,3
2600,superior,,3
2601,supervise,,3
2602,supper,,2
2603,supplement,,3
2604,supply,,2
2605,support,,2
2606,suppose,,2
2607,sure,(ensure),1
2608,surface,,2
2609,surgery,,3
2610,surprise,,2
2611,surrender,,3
2612,surround,,2
2613,survey,,2
2614,survive,,2
2615,suspect,,2
2616,suspend,,3
2617,sustain,,3
2618,swallow,,2
2619,swear,,3
2620,sweat,,3
2621,sweater,,2
2622,sweep,,2
2623,sweet,,2
2624,swell,,3
2625,swift,,3
2626,swim,,1
2627,swing,,2
2628,switch,,2
2629,symbol,,3
2630,sympathy,,3
2631,symphony,,3
2632,symptom,,3
2633,system,,2
2634,table,,1
2635,tackle,,3
2636,tag,,3
2637,tail,,1
2638,take,(mistake),1
2639,tale,,2
2640,talent,,3
2641,talk,,1
2642,tall,,1
2643,tank,,2
2644,tap,,2
2645,tape,,1
2646,target,,2
2647,task,,3
2648,taste,,1
2649,tax,,2
2650,taxi,,1
2651,tea,,2
2652,teach,,1
2653,team,,1
2654,tear,,2
2655,tease,,3
2656,technique,/ technic,2
2657,technology,,2
2658,teenage,,2
2659,telegraph,,3
2660,telephone,/ phone,1
2661,television,,1
2662,tell,,1
2663,temperature,,2
2664,temple,,3
2665,temporary,,3
2666,tempt,,3
2667,ten,,1
2668,tenant,,3
2669,tend,,2
2670,tender,,3
2671,tennis,,1
2672,tense,,2
2673,tent,,1
2674,term,,2
2675,terminal,,3
2676,terminate,,3
2677,terrace,,3
2678,terrible,,2
2679,terrific,,3
2680,territory,,3
2681,terror,(terrorist),3
2682,test,,1
2683,text,,2
2684,textbook,,1
2685,than,,1
2686,thank,,1
2687,that,,1
2688,the,,1
2689,theater,/ theatre,2
2690,theme,,3
2691,then,,2
2692,theory,,2
2693,therapy,,3
2694,there,,1
2695,therefore,,2
2696,they,,1
2697,thick,,2
2698,thief,,2
2699,thin,,2
2700,thing,,1
2701,think,,1
2702,third,,1
2703,thirst,,1
2704,thirteen,,1
2705,thirty,,1
2706,this,,1
2707,thorough,,3
2708,though,,2
2709,thousand,,2
2710,thread,,3
2711,threat,,2
2712,three,,1
2713,thrill,,3
2714,throat,,2
2715,through,,2
2716,throw,,2
2717,thumb,,3
2718,thus,,2
2719,tick,,3
2720,ticket,,1
2721,tide,(tidy),2
2722,tie,,2
2723,tiger,,1
2724,tight,,2
2725,till,,2
2726,timber,,3
2727,time,,1
2728,tin,,2
2729,tiny,,2
2730,tip,,2
2731,tire,(tired),1
2732,tissue,,3
2733,title,(entitle),2
2734,to,,1
2735,toast,,2
2736,today,,1
2737,toe,,2
2738,together,,1
2739,toilet,,2
2740,tomato,,1
2741,tomorrow,,1
2742,tone,,2
2743,tongue,,2
2744,tonight,,1
2745,too,,1
2746,tool,,2
2747,tooth,,1
2748,top,,1
2749,topic,,2
2750,torture,,3
2751,toss,,3
2752,total,,2
2753,touch,,1
2754,tough,,2
2755,tour,,2
2756,toward,/ towards,2
2757,towel,,2
2758,tower,,2
2759,town,,1
2760,toxic,,3
2761,toy,,1
2762,trace,,2
2763,track,,1
2764,trade,,2
2765,tradition,,2
2766,traffic,,2
2767,tragic,,3
2768,trail,,3
2769,train,,1
2770,transact,,3
2771,transfer,,2
2772,transform,,3
2773,transition,,3
2774,translate,,3
2775,transmit,,3
2776,transport,(transportation),2
2777,trap,,2
2778,travel,,1
2779,tray,,2
2780,treasure,,3
2781,treat,,2
2782,treaty,,3
2783,tree,,1
2784,tremendous,,3
2785,trend,,3
2786,triangle,,2
2787,tribe,,3
2788,trick,,2
2789,trigger,,3
2790,trim,,3
2791,trip,,1
2792,triumph,,3
2793,troop,,3
2794,trouble,,2
2795,truck,,1
2796,TRUE,,1
2797,trunk,,2
2798,trust,,2
2799,truth,,2
2800,try,(trial),1
2801,tube,,3
2802,tune,,2
2803,tunnel,,3
2804,turn,,1
2805,turnover,,3
2806,twelve,,1
2807,twenty,,1
2808,twenty-first,,1
2809,twenty-second,,1
2810,twenty-third,,1
2811,twice,,1
2812,twin,,2
2813,twist,,2
2814,two,,1
2815,type,,1
2816,ugly,,1
2817,ultimate,,3
2818,umbrella,,1
2819,uncle,,1
2820,under,,1
2821,undergo,,3
2822,underlie,,3
2823,undermine,,3
2824,understand,,1
2825,undertake,,3
2826,uniform,,2
2827,unify,,3
2828,unique,,3
2829,unit,,2
2830,unite,(union),2
2831,universe,,3
2832,university,,2
2833,unless,,2
2834,until,,2
2835,up,,1
2836,update,,3
2837,upon,,2
2838,upper,,2
2839,upset,,2
2840,upward,/ upwards,3
2841,urban,,3
2842,urge,(urgent),3
2843,use,(usual),1
2844,utilize,/ utilise,3
2845,utter,,3
2846,vacate,(vacation),3
2847,vaccine,,3
2848,vacuum,,3
2849,vague,,3
2850,valid,,3
2851,valley,,2
2852,value,,2
2853,van,,2
2854,vanish,,3
2855,various,,2
2856,vary,,2
2857,vast,,3
2858,vegetable,,1
2859,vehicle,,2
2860,venture,,3
2861,verb,(verbal),3
2862,verse,,3
2863,version,,2
2864,versus,,3
2865,vertical,,3
2866,very,,1
2867,vessel,,3
2868,veterinarian,,3
2869,via,,3
2870,vice,,3
2871,victim,,2
2872,victory,,3
2873,video,,1
2874,view,"(interview, review)",2
2875,vigor,(vigorous),3
2876,villa,,2
2877,village,,2
2878,violent,,2
2879,violin,,1
2880,virgin,,3
2881,virtue,(virtual),3
2882,virus,,3
2883,visible,,3
2884,vision,,2
2885,visit,,1
2886,visual,,3
2887,vital,,3
2888,vivid,,3
2889,vocabulary,,3
2890,vocation,,3
2891,voice,,1
2892,volume,,2
2893,volunteer,,2
2894,vote,,2
2895,wage,,2
2896,wait,,1
2897,wake,,1
2898,walk,,1
2899,wall,,1
2900,wander,,3
2901,want,,1
2902,war,,1
2903,warehouse,,3
2904,warm,,1
2905,warn,,2
2906,warrant,,3
2907,wash,,1
2908,waste,,2
2909,watch,,1
2910,water,,1
2911,watermelon,,1
2912,wave,,2
2913,way,,1
2914,we,,1
2915,weak,,2
2916,wealth,,3
2917,weapon,,2
2918,wear,,1
2919,weather,,1
2920,weave,,3
2921,website,,1
2922,wedding,,1
2923,weed,,3
2924,week,,1
2925,weekend,,1
2926,weigh,,2
2927,weight,,1
2928,weird,,3
2929,welcome,,1
2930,welfare,,3
2931,well,,1
2932,west,,1
2933,wet,,1
2934,whale,,2
2935,what,,1
2936,wheat,,3
2937,wheel,,2
2938,when,,1
2939,where,,1
2940,whereas,,3
2941,whether,,2
2942,which,,2
2943,while,,2
2944,whip,,3
2945,whisper,,2
2946,whistle,,2
2947,white,,1
2948,who,,1
2949,whole,,2
2950,why,,1
2951,wicked,,3
2952,wide,,2
2953,wife,,1
2954,wild,,2
2955,will,,1
2956,win,,1
2957,wind,,1
2958,window,,1
2959,wine,,1
2960,wing,,2
2961,winter,,1
2962,wipe,,2
2963,wire,,2
2964,wise,,2
2965,wish,,1
2966,wit,,3
2967,with,,1
2968,withdraw,,3
2969,within,,2
2970,without,,2
2971,witness,,3
2972,woman,,1
2973,wonder,,2
2974,wood,,1
2975,wool,,2
2976,word,,1
2977,work,,1
2978,world,,1
2979,worry,,1
2980,worship,,3
2981,worth,,2
2982,would,,2
2983,wound,,2
2984,wrap,,2
2985,wreck,,3
2986,write,,1
2987,wrong,,1
2988,year,,1
2989,yell,,2
2990,yellow,,1
2991,yes,/ yeah / yep,1
2992,yesterday,,1
2993,yet,,2
2994,yield,,3
2995,you,,1
2996,young,,1
2997,zebra,,2
2998,zero,,2
2999,zone,,3
3000,zoo,,1
